target_drugs,uniprot_id,Organism
DB00036,P05981,"Homo sapiens (Human)"
DB00036,P10646,"Homo sapiens (Human)"
DB00036,P38435,"Homo sapiens (Human)"
DB00036,P08709,"Homo sapiens (Human)"
DB00036,P13726,"Homo sapiens (Human)"
DB00038,Q14626,"Homo sapiens (Human)"
DB00039,P21802,"Homo sapiens (Human)"
DB00039,O14786,"Homo sapiens (Human)"
DB00039,P11362,"Homo sapiens (Human)"
DB00039,P22455,"Homo sapiens (Human)"
DB00039,P22607,"Homo sapiens (Human)"
DB00039,P98160,"Homo sapiens (Human)"
DB00040,P47871,"Homo sapiens (Human)"
DB00040,O95838,"Homo sapiens (Human)"
DB00040,P43220,"Homo sapiens (Human)"
DB00041,P14784,"Homo sapiens (Human)"
DB00041,P01589,"Homo sapiens (Human)"
DB00041,P31785,"Homo sapiens (Human)"
DB00042,P63027,"Homo sapiens (Human)"
DB00042,P23763,"Homo sapiens (Human)"
DB00042,Q8N9I0,"Homo sapiens (Human)"
DB00043,P12319,"Homo sapiens (Human)"
DB00043,Q01362,"Homo sapiens (Human)"
DB00044,P22888,"Homo sapiens (Human)"
DB00045,O60603,"Homo sapiens (Human)"
DB00046,P06213,"Homo sapiens (Human)"
DB00046,P08069,"Homo sapiens (Human)"
DB00047,P06213,"Homo sapiens (Human)"
DB00047,P08069,"Homo sapiens (Human)"
DB00048,P02452,"Homo sapiens (Human)"
DB00048,P02458,"Homo sapiens (Human)"
DB00048,P02461,"Homo sapiens (Human)"
DB00048,P08123,"Homo sapiens (Human)"
DB00050,P30968,"Homo sapiens (Human)"
DB00050,P22888,"Homo sapiens (Human)"
DB00051,P01375,"Homo sapiens (Human)"
DB00051,O75015,"Homo sapiens (Human)"
DB00051,P00736,"Homo sapiens (Human)"
DB00051,P02745,"Homo sapiens (Human)"
DB00051,P02746,"Homo sapiens (Human)"
DB00051,P02747,"Homo sapiens (Human)"
DB00051,P08637,"Homo sapiens (Human)"
DB00051,P09871,"Homo sapiens (Human)"
DB00051,P12314,"Homo sapiens (Human)"
DB00051,P12318,"Homo sapiens (Human)"
DB00051,P31994,"Homo sapiens (Human)"
DB00051,P31995,"Homo sapiens (Human)"
DB00052,P10912,"Homo sapiens (Human)"
DB00052,P16471,"Homo sapiens (Human)"
DB00054,P05106,"Homo sapiens (Human)"
DB00054,P08514,"Homo sapiens (Human)"
DB00054,O75015,"Homo sapiens (Human)"
DB00054,P00736,"Homo sapiens (Human)"
DB00054,P02745,"Homo sapiens (Human)"
DB00054,P02746,"Homo sapiens (Human)"
DB00054,P02747,"Homo sapiens (Human)"
DB00054,P08637,"Homo sapiens (Human)"
DB00054,P09871,"Homo sapiens (Human)"
DB00054,P12314,"Homo sapiens (Human)"
DB00054,P12318,"Homo sapiens (Human)"
DB00054,P31994,"Homo sapiens (Human)"
DB00054,P31995,"Homo sapiens (Human)"
DB00054,P04004,"Homo sapiens (Human)"
DB00055,P00451,"Homo sapiens (Human)"
DB00055,P12259,"Homo sapiens (Human)"
DB00055,P05121,"Homo sapiens (Human)"
DB00055,P07204,"Homo sapiens (Human)"
DB00055,P07225,"Homo sapiens (Human)"
DB00055,P00450,"Homo sapiens (Human)"
DB00055,P00734,"Homo sapiens (Human)"
DB00055,P02776,"Homo sapiens (Human)"
DB00055,P05154,"Homo sapiens (Human)"
DB00055,P35237,"Homo sapiens (Human)"
DB00055,P38435,"Homo sapiens (Human)"
DB00055,Q9UNN8,"Homo sapiens (Human)"
DB00056,P20138,"Homo sapiens (Human)"
DB00056,O75015,"Homo sapiens (Human)"
DB00056,P00736,"Homo sapiens (Human)"
DB00056,P02745,"Homo sapiens (Human)"
DB00056,P02746,"Homo sapiens (Human)"
DB00056,P02747,"Homo sapiens (Human)"
DB00056,P08637,"Homo sapiens (Human)"
DB00056,P09871,"Homo sapiens (Human)"
DB00056,P12314,"Homo sapiens (Human)"
DB00056,P12318,"Homo sapiens (Human)"
DB00056,P31994,"Homo sapiens (Human)"
DB00056,P31995,"Homo sapiens (Human)"
DB00058,P08246,"Homo sapiens (Human)"
DB00060,P17181,"Homo sapiens (Human)"
DB00060,P48551,"Homo sapiens (Human)"
DB00061,P62993,"Homo sapiens (Human)"
DB00062,P02649,"Homo sapiens (Human)"
DB00062,P0DJI8,"Homo sapiens (Human)"
DB00062,P02760,"Homo sapiens (Human)"
DB00063,P05106,"Homo sapiens (Human)"
DB00064,P02649,"Homo sapiens (Human)"
DB00064,P0DJI8,"Homo sapiens (Human)"
DB00064,P02760,"Homo sapiens (Human)"
DB00065,P01375,"Homo sapiens (Human)"
DB00066,P23945,"Homo sapiens (Human)"
DB00067,P30518,"Homo sapiens (Human)"
DB00067,P37288,"Homo sapiens (Human)"
DB00067,P47901,"Homo sapiens (Human)"
DB00068,P17181,"Homo sapiens (Human)"
DB00068,P48551,"Homo sapiens (Human)"
DB00069,P17181,"Homo sapiens (Human)"
DB00069,P48551,"Homo sapiens (Human)"
DB00070,P01137,"Homo sapiens (Human)"
DB00071,P06213,"Homo sapiens (Human)"
DB00071,P08069,"Homo sapiens (Human)"
DB00071,P14735,"Homo sapiens (Human)"
DB00071,P01906,"Homo sapiens (Human)"
DB00071,P01920,"Homo sapiens (Human)"
DB00071,P06400,"Homo sapiens (Human)"
DB00071,P07339,"Homo sapiens (Human)"
DB00071,P16870,"Homo sapiens (Human)"
DB00071,P16519,"Homo sapiens (Human)"
DB00071,P29120,"Homo sapiens (Human)"
DB00071,P48745,"Homo sapiens (Human)"
DB00071,P98164,"Homo sapiens (Human)"
DB00071,Q16270,"Homo sapiens (Human)"
DB00071,Q96C24,"Homo sapiens (Human)"
DB00072,P04626,"Homo sapiens (Human)"
DB00072,P00533,"Homo sapiens (Human)"
DB00072,P00736,"Homo sapiens (Human)"
DB00072,P02745,"Homo sapiens (Human)"
DB00072,P02746,"Homo sapiens (Human)"
DB00072,P02747,"Homo sapiens (Human)"
DB00072,P09871,"Homo sapiens (Human)"
DB00072,P12314,"Homo sapiens (Human)"
DB00072,P12318,"Homo sapiens (Human)"
DB00072,P31994,"Homo sapiens (Human)"
DB00072,P31995,"Homo sapiens (Human)"
DB00072,O75015,"Homo sapiens (Human)"
DB00072,P08637,"Homo sapiens (Human)"
DB00073,P11836,"Homo sapiens (Human)"
DB00073,O75015,"Homo sapiens (Human)"
DB00073,P00736,"Homo sapiens (Human)"
DB00073,P02745,"Homo sapiens (Human)"
DB00073,P02746,"Homo sapiens (Human)"
DB00073,P02747,"Homo sapiens (Human)"
DB00073,P08637,"Homo sapiens (Human)"
DB00073,P09871,"Homo sapiens (Human)"
DB00073,P12314,"Homo sapiens (Human)"
DB00073,P12318,"Homo sapiens (Human)"
DB00073,P31994,"Homo sapiens (Human)"
DB00073,P31995,"Homo sapiens (Human)"
DB00074,P01589,"Homo sapiens (Human)"
DB00074,P14784,"Homo sapiens (Human)"
DB00074,P12314,"Homo sapiens (Human)"
DB00074,P08637,"Homo sapiens (Human)"
DB00074,P12318,"Homo sapiens (Human)"
DB00074,P31994,"Homo sapiens (Human)"
DB00074,P31995,"Homo sapiens (Human)"
DB00074,O75015,"Homo sapiens (Human)"
DB00074,P09871,"Homo sapiens (Human)"
DB00074,P00736,"Homo sapiens (Human)"
DB00074,P02745,"Homo sapiens (Human)"
DB00074,P02746,"Homo sapiens (Human)"
DB00074,P02747,"Homo sapiens (Human)"
DB00075,P04234,"Homo sapiens (Human)"
DB00075,P07766,"Homo sapiens (Human)"
DB00075,P09693,"Homo sapiens (Human)"
DB00075,P20963,"Homo sapiens (Human)"
DB00075,O75015,"Homo sapiens (Human)"
DB00075,P00736,"Homo sapiens (Human)"
DB00075,P02745,"Homo sapiens (Human)"
DB00075,P02746,"Homo sapiens (Human)"
DB00075,P02747,"Homo sapiens (Human)"
DB00075,P08637,"Homo sapiens (Human)"
DB00075,P09871,"Homo sapiens (Human)"
DB00075,P12314,"Homo sapiens (Human)"
DB00075,P12318,"Homo sapiens (Human)"
DB00075,P31994,"Homo sapiens (Human)"
DB00075,P31995,"Homo sapiens (Human)"
DB00078,P11836,"Homo sapiens (Human)"
DB00078,O75015,"Homo sapiens (Human)"
DB00078,P00736,"Homo sapiens (Human)"
DB00078,P02745,"Homo sapiens (Human)"
DB00078,P02746,"Homo sapiens (Human)"
DB00078,P02747,"Homo sapiens (Human)"
DB00078,P08637,"Homo sapiens (Human)"
DB00078,P09871,"Homo sapiens (Human)"
DB00078,P12314,"Homo sapiens (Human)"
DB00078,P12318,"Homo sapiens (Human)"
DB00078,P31994,"Homo sapiens (Human)"
DB00078,P31995,"Homo sapiens (Human)"
DB00081,P11836,"Homo sapiens (Human)"
DB00081,O75015,"Homo sapiens (Human)"
DB00081,P00736,"Homo sapiens (Human)"
DB00081,P02745,"Homo sapiens (Human)"
DB00081,P02746,"Homo sapiens (Human)"
DB00081,P02747,"Homo sapiens (Human)"
DB00081,P08637,"Homo sapiens (Human)"
DB00081,P12314,"Homo sapiens (Human)"
DB00081,P12318,"Homo sapiens (Human)"
DB00081,P31994,"Homo sapiens (Human)"
DB00081,P31995,"Homo sapiens (Human)"
DB00082,P10912,"Homo sapiens (Human)"
DB00083,P60880,"Homo sapiens (Human)"
DB00083,P62745,"Homo sapiens (Human)"
DB00086,P00747,"Homo sapiens (Human)"
DB00086,P25116,"Homo sapiens (Human)"
DB00087,P31358,"Homo sapiens (Human)"
DB00087,O75015,"Homo sapiens (Human)"
DB00087,P00736,"Homo sapiens (Human)"
DB00087,P02745,"Homo sapiens (Human)"
DB00087,P02746,"Homo sapiens (Human)"
DB00087,P02747,"Homo sapiens (Human)"
DB00087,P08637,"Homo sapiens (Human)"
DB00087,P12314,"Homo sapiens (Human)"
DB00087,P12318,"Homo sapiens (Human)"
DB00087,P31994,"Homo sapiens (Human)"
DB00087,P31995,"Homo sapiens (Human)"
DB00089,Q04609,"Homo sapiens (Human)"
DB00091,P49069,"Homo sapiens (Human)"
DB00091,Q96LZ3,"Homo sapiens (Human)"
DB00091,P62937,"Homo sapiens (Human)"
DB00091,P30405,"Homo sapiens (Human)"
DB00092,P06729,"Homo sapiens (Human)"
DB00092,P00736,"Homo sapiens (Human)"
DB00092,P02745,"Homo sapiens (Human)"
DB00092,P02746,"Homo sapiens (Human)"
DB00092,P02747,"Homo sapiens (Human)"
DB00092,P08637,"Homo sapiens (Human)"
DB00092,P12314,"Homo sapiens (Human)"
DB00092,P12318,"Homo sapiens (Human)"
DB00092,P31994,"Homo sapiens (Human)"
DB00092,P31995,"Homo sapiens (Human)"
DB00092,O75015,"Homo sapiens (Human)"
DB00093,P37288,"Homo sapiens (Human)"
DB00094,P23945,"Homo sapiens (Human)"
DB00095,P20701,"Homo sapiens (Human)"
DB00095,O75015,"Homo sapiens (Human)"
DB00095,P00736,"Homo sapiens (Human)"
DB00095,P02745,"Homo sapiens (Human)"
DB00095,P02746,"Homo sapiens (Human)"
DB00095,P02747,"Homo sapiens (Human)"
DB00095,P08637,"Homo sapiens (Human)"
DB00095,P12314,"Homo sapiens (Human)"
DB00095,P12318,"Homo sapiens (Human)"
DB00095,P31994,"Homo sapiens (Human)"
DB00095,P31995,"Homo sapiens (Human)"
DB00097,P22888,"Homo sapiens (Human)"
DB00097,P23945,"Homo sapiens (Human)"
DB00098,P06126,"Homo sapiens (Human)"
DB00098,Q95460,"Homo sapiens (Human)"
DB00098,P20701,"Homo sapiens (Human)"
DB00098,P42081,"Homo sapiens (Human)"
DB00098,P31994,"Homo sapiens (Human)"
DB00098,P01730,"Homo sapiens (Human)"
DB00098,P05556,"Homo sapiens (Human)"
DB00098,P06756,"Homo sapiens (Human)"
DB00098,P05106,"Homo sapiens (Human)"
DB00099,Q99062,"Homo sapiens (Human)"
DB00099,P08246,"Homo sapiens (Human)"
DB00100,P00742,"Homo sapiens (Human)"
DB00100,P03951,"Homo sapiens (Human)"
DB00100,P08709,"Homo sapiens (Human)"
DB00100,P00451,"Homo sapiens (Human)"
DB00100,P00734,"Homo sapiens (Human)"
DB00100,Q07954,"Homo sapiens (Human)"
DB00100,P38435,"Homo sapiens (Human)"
DB00102,P09619,"Homo sapiens (Human)"
DB00102,P16234,"Homo sapiens (Human)"
DB00102,P01023,"Homo sapiens (Human)"
DB00104,P30872,"Homo sapiens (Human)"
DB00104,P35346,"Homo sapiens (Human)"
DB00104,P30874,"Homo sapiens (Human)"
DB00105,P48551,"Homo sapiens (Human)"
DB00105,P17181,"Homo sapiens (Human)"
DB00106,P30968,"Homo sapiens (Human)"
DB00107,P30559,"Homo sapiens (Human)"
DB00107,P01178,"Homo sapiens (Human)"
DB00108,P13612,"Homo sapiens (Human)"
DB00108,O75015,"Homo sapiens (Human)"
DB00108,P00736,"Homo sapiens (Human)"
DB00108,P02745,"Homo sapiens (Human)"
DB00108,P02746,"Homo sapiens (Human)"
DB00108,P02747,"Homo sapiens (Human)"
DB00108,P08637,"Homo sapiens (Human)"
DB00108,P12314,"Homo sapiens (Human)"
DB00108,P12318,"Homo sapiens (Human)"
DB00108,P31994,"Homo sapiens (Human)"
DB00108,P31995,"Homo sapiens (Human)"
DB00108,P05362,"Homo sapiens (Human)"
DB00109,Q53I07,"Human immunodeficiency virus 1"
DB00110,P13843,"Human respiratory syncytial virus B (strain 18537)"
DB00110,O75015,"Homo sapiens (Human)"
DB00110,P00736,"Homo sapiens (Human)"
DB00110,P02745,"Homo sapiens (Human)"
DB00110,P02746,"Homo sapiens (Human)"
DB00110,P02747,"Homo sapiens (Human)"
DB00110,P08637,"Homo sapiens (Human)"
DB00110,P12314,"Homo sapiens (Human)"
DB00110,P12318,"Homo sapiens (Human)"
DB00110,P31994,"Homo sapiens (Human)"
DB00110,P31995,"Homo sapiens (Human)"
DB00111,P01589,"Homo sapiens (Human)"
DB00111,P14784,"Homo sapiens (Human)"
DB00111,O75015,"Homo sapiens (Human)"
DB00111,P00736,"Homo sapiens (Human)"
DB00111,P02745,"Homo sapiens (Human)"
DB00111,P02746,"Homo sapiens (Human)"
DB00111,P02747,"Homo sapiens (Human)"
DB00111,P08637,"Homo sapiens (Human)"
DB00111,P12314,"Homo sapiens (Human)"
DB00111,P12318,"Homo sapiens (Human)"
DB00111,P31994,"Homo sapiens (Human)"
DB00111,P31995,"Homo sapiens (Human)"
DB00112,P15692,"Homo sapiens (Human)"
DB00112,O75015,"Homo sapiens (Human)"
DB00112,P00736,"Homo sapiens (Human)"
DB00112,P02745,"Homo sapiens (Human)"
DB00112,P02746,"Homo sapiens (Human)"
DB00112,P02747,"Homo sapiens (Human)"
DB00112,P08637,"Homo sapiens (Human)"
DB00112,P12314,"Homo sapiens (Human)"
DB00112,P12318,"Homo sapiens (Human)"
DB00112,P31994,"Homo sapiens (Human)"
DB00112,P31995,"Homo sapiens (Human)"
DB00113,P13688,"Homo sapiens (Human)"
DB00114,Q9BYV1,"Homo sapiens (Human)"
DB00114,Q99259,
DB00114,P35520,"Homo sapiens (Human)"
DB00114,Q16719,"Homo sapiens (Human)"
DB00114,P34896,"Homo sapiens (Human)"
DB00114,Q9Y697,"Homo sapiens (Human)"
DB00114,P17174,"Homo sapiens (Human)"
DB00114,P04181,"Homo sapiens (Human)"
DB00114,P11926,"Homo sapiens (Human)"
DB00114,Q8N5Z0,"Homo sapiens (Human)"
DB00114,P80404,"Homo sapiens (Human)"
DB00114,Q9NVS9,"Homo sapiens (Human)"
DB00114,O95470,"Homo sapiens (Human)"
DB00114,P17735,"Homo sapiens (Human)"
DB00114,Q16773,"Homo sapiens (Human)"
DB00114,Q8IYQ7,"Homo sapiens (Human)"
DB00114,P06737,"Homo sapiens (Human)"
DB00114,O15270,"Homo sapiens (Human)"
DB00114,Q9Y600,"Homo sapiens (Human)"
DB00114,P19113,"Homo sapiens (Human)"
DB00114,Q96A70,"Homo sapiens (Human)"
DB00114,P20132,"Homo sapiens (Human)"
DB00114,O75600,"Homo sapiens (Human)"
DB00114,P23378,"Homo sapiens (Human)"
DB00114,P24298,"Homo sapiens (Human)"
DB00114,Q9Y617,"Homo sapiens (Human)"
DB00114,P13196,"Homo sapiens (Human)"
DB00114,P21549,"Homo sapiens (Human)"
DB00114,Q96GD0,"Homo sapiens (Human)"
DB00114,O15269,"Homo sapiens (Human)"
DB00114,P32929,"Homo sapiens (Human)"
DB00114,P54687,"Homo sapiens (Human)"
DB00114,O15382,"Homo sapiens (Human)"
DB00114,O94903,"Homo sapiens (Human)"
DB00114,O95954,"Homo sapiens (Human)"
DB00114,P00505,"Homo sapiens (Human)"
DB00114,P11216,"Homo sapiens (Human)"
DB00114,P11217,"Homo sapiens (Human)"
DB00114,P20711,"Homo sapiens (Human)"
DB00114,Q2TU84,"Homo sapiens (Human)"
DB00114,Q49AK1,
DB00114,Q53ET4,"Homo sapiens (Human)"
DB00114,Q59FK2,"Homo sapiens (Human)"
DB00114,Q59GM9,"Homo sapiens (Human)"
DB00114,Q59HE2,"Homo sapiens (Human)"
DB00114,Q5JAM2,"Homo sapiens (Human)"
DB00114,Q5VZ30,"Homo sapiens (Human)"
DB00114,Q6IBS8,"Homo sapiens (Human)"
DB00114,Q6P996,"Homo sapiens (Human)"
DB00114,Q6YP21,"Homo sapiens (Human)"
DB00114,Q6ZQY3,"Homo sapiens (Human)"
DB00114,Q96I15,"Homo sapiens (Human)"
DB00114,Q6WRI0,"Homo sapiens (Human)"
DB00114,Q8IUZ5,"Homo sapiens (Human)"
DB00114,Q8IVA8,"Homo sapiens (Human)"
DB00114,P34897,"Homo sapiens (Human)"
DB00114,P22557,"Homo sapiens (Human)"
DB00114,Q8TD30,"Homo sapiens (Human)"
DB00114,Q96EN8,"Homo sapiens (Human)"
DB00114,Q96GA7,"Homo sapiens (Human)"
DB00114,Q96JQ3,"Homo sapiens (Human)"
DB00114,Q9BXA1,"Homo sapiens (Human)"
DB00114,Q9GZT4,"Homo sapiens (Human)"
DB00114,Q9HD40,"Homo sapiens (Human)"
DB00114,Q9NUV7,"Homo sapiens (Human)"
DB00114,Q9UGI5,"Homo sapiens (Human)"
DB00114,Q9UJX1,"Homo sapiens (Human)"
DB00115,Q99707,"Homo sapiens (Human)"
DB00115,P22033,"Homo sapiens (Human)"
DB00115,Q9UBK8,"Homo sapiens (Human)"
DB00115,Q8IVH4,"Homo sapiens (Human)"
DB00115,Q9Y4U1,"Homo sapiens (Human)"
DB00115,P42898,"Homo sapiens (Human)"
DB00116,P11586,"Homo sapiens (Human)"
DB00116,P13995,"Homo sapiens (Human)"
DB00116,P48728,"Homo sapiens (Human)"
DB00116,O75891,"Homo sapiens (Human)"
DB00116,Q99707,"Homo sapiens (Human)"
DB00116,O95954,"Homo sapiens (Human)"
DB00116,P31939,"Homo sapiens (Human)"
DB00116,P34896,"Homo sapiens (Human)"
DB00116,P34897,"Homo sapiens (Human)"
DB00116,P42898,"Homo sapiens (Human)"
DB00116,Q53ET4,"Homo sapiens (Human)"
DB00116,Q96DP5,"Homo sapiens (Human)"
DB00117,P19113,"Homo sapiens (Human)"
DB00117,P12081,"Homo sapiens (Human)"
DB00117,Q99624,"Homo sapiens (Human)"
DB00117,P42357,"Homo sapiens (Human)"
DB00118,Q14749,"Homo sapiens (Human)"
DB00118,P17707,"Homo sapiens (Human)"
DB00118,P31153,"Homo sapiens (Human)"
DB00118,P35520,"Homo sapiens (Human)"
DB00118,Q00266,"Homo sapiens (Human)"
DB00118,P21964,"Homo sapiens (Human)"
DB00119,O15427,"Homo sapiens (Human)"
DB00119,P36021,"Homo sapiens (Human)"
DB00119,Q9BYV1,"Homo sapiens (Human)"
DB00119,O15375,"Homo sapiens (Human)"
DB00119,P30613,"Homo sapiens (Human)"
DB00119,O15403,"Homo sapiens (Human)"
DB00119,O60669,"Homo sapiens (Human)"
DB00119,P11177,"Homo sapiens (Human)"
DB00119,P14618,"Homo sapiens (Human)"
DB00119,P80404,"Homo sapiens (Human)"
DB00119,O15374,"Homo sapiens (Human)"
DB00119,O95907,"Homo sapiens (Human)"
DB00119,P53985,"Homo sapiens (Human)"
DB00119,P11498,"Homo sapiens (Human)"
DB00120,P17735,"Homo sapiens (Human)"
DB00120,Q9UHI5,"Homo sapiens (Human)"
DB00120,Q9Y285,"Homo sapiens (Human)"
DB00120,P00439,"Homo sapiens (Human)"
DB00120,O95363,"Homo sapiens (Human)"
DB00120,Q9NSD9,"Homo sapiens (Human)"
DB00120,P07101,"Homo sapiens (Human)"
DB00121,P05166,"Homo sapiens (Human)"
DB00121,P50747,"Homo sapiens (Human)"
DB00121,Q9Y289,"Homo sapiens (Human)"
DB00121,Q9HCC0,"Homo sapiens (Human)"
DB00121,O00763,"Homo sapiens (Human)"
DB00121,Q96RQ3,"Homo sapiens (Human)"
DB00121,P11498,"Homo sapiens (Human)"
DB00121,P05165,"Homo sapiens (Human)"
DB00121,Q13085,"Homo sapiens (Human)"
DB00122,Q9Y5K3,"Homo sapiens (Human)"
DB00122,P22303,"Homo sapiens (Human)"
DB00122,P49585,"Homo sapiens (Human)"
DB00122,O14939,"Homo sapiens (Human)"
DB00122,P06276,"Homo sapiens (Human)"
DB00122,Q13393,"Homo sapiens (Human)"
DB00122,Q8TCT1,"Homo sapiens (Human)"
DB00123,P30825,"Homo sapiens (Human)"
DB00123,O43246,"Homo sapiens (Human)"
DB00123,Q8WY07,"Homo sapiens (Human)"
DB00123,P52569,"Homo sapiens (Human)"
DB00123,Q15046,"Homo sapiens (Human)"
DB00125,P29474,"Homo sapiens (Human)"
DB00125,Q8WY07,"Homo sapiens (Human)"
DB00125,Q96A70,"Homo sapiens (Human)"
DB00125,P04424,"Homo sapiens (Human)"
